numac,codeinsee,ville,lumiere,intersection,atmospherique,collision,route,tues,hospitalises,leger,indemnes,gravite,latitude,longitude
426471,75104,Paris,5,2,1,6,4,0,3,0,0,32.4,48.85731,2.34928
426510,77131,Coulommiers,1,1,1,2,3,0,3,0,1,32.4,48.81358,3.08796
426511,77514,Villeparisis,1,1,1,7,2,0,3,0,0,32.4,48.941467,2.635984
426512,77378,Pringy,5,3,1,2,2,0,3,0,0,32.4,48.522396,2.560816
426513,77358,Penchard,3,1,1,1,2,0,3,0,0,32.4,48.993612,2.859057
426514,77108,Chelles,1,1,1,1,4,0,3,0,0,32.4,48.87932,2.59758
426515,77294,Mitry-Mory,1,1,1,6,2,0,3,0,0,32.4,48.982902,2.599285
426516,77014,Avon,5,1,1,6,4,0,3,0,0,32.4,48.42498,2.74259
426518,77058,Bussy-Saint-Georges,5,9,1,6,3,0,3,0,1,32.4,48.84479,2.70506
426521,77123,Compans,1,1,1,1,3,0,3,0,0,32.4,48.995544,2.648859
426522,77534,Yebles,1,1,1,1,3,0,3,0,0,32.4,48.65,2.778
426523,77192,Fontenay-Tresigny,1,1,1,3,2,0,3,0,2,32.4,48.69,2.82
426524,77453,Sivry-Courtry,3,1,1,1,3,0,3,0,1,32.4,48.52761,2.75613
426525,77365,Le Plessis-Feu-Aussoux,5,1,1,1,3,0,3,0,0,32.4,48.722,3.038
426526,77387,Remauville,1,3,2,3,3,0,3,0,0,32.4,48.243,2.815
426527,77255,Livry-sur-Seine,3,1,2,6,3,0,3,0,0,32.4,48.507432,2.680686
426528,77067,Cesson,5,1,1,7,3,0,3,0,1,32.4,48.561253,2.595137
426529,77251,Lieusaint,1,1,6,3,1,0,3,0,1,32.4,48.617914,2.555379
426530,77130,Coulommes,3,1,8,7,3,0,3,0,0,32.4,48.898,2.941
426533,77487,Vaux-le-Penil,1,2,1,3,2,0,3,0,0,32.4,48.5223,2.68394
426534,77292,Messy,1,2,1,5,3,0,3,0,2,32.4,48.96681,2.698896
426535,77121,Collegien,2,1,1,6,4,0,3,0,2,32.4,48.84022,2.66874
426536,77141,Coutevroult,5,1,1,2,1,0,3,0,1,32.4,48.8669,2.85265
426537,77281,Mauperthuis,1,2,2,3,3,0,3,0,1,32.4,48.769663,3.040481
426538,77376,Precy-sur-Marne,1,1,1,1,3,0,3,0,2,32.4,48.9328,2.76224
426540,77238,Jouarre,3,1,1,7,3,0,3,0,0,32.4,48.8653,3.09139
426542,77292,Messy,5,2,1,3,3,0,3,0,0,32.4,48.967925,2.703707
426543,77410,Saint-Germain-Laxis,1,2,8,3,2,0,3,0,0,32.4,48.582507,2.707281
426544,77048,Bourron-Marlotte,5,1,1,7,4,0,3,0,0,32.4,48.34069,2.71418
426545,77458,Souppes-sur-Loing,1,1,1,5,3,0,3,0,1,32.4,48.184902,2.733824
426546,77284,Meaux,1,1,1,6,3,0,3,0,0,32.4,48.969694,2.901647
426547,77407,Saint-Fargeau-Ponthierry,1,1,1,6,1,0,3,0,3,32.4,48.551,2.496
426550,77349,Othis,1,1,1,6,4,0,3,0,0,32.4,49.08955,2.53288
426551,77022,Barbizon,3,1,1,1,3,0,3,0,0,32.4,48.45807,2.58463
426552,77281,Mauperthuis,1,1,1,1,3,0,3,0,0,32.4,48.76403,3.03005
426553,77122,Combs-la-Ville,1,1,2,1,3,0,3,0,0,32.4,48.66445,2.57248
426554,77053,Brie-Comte-Robert,1,2,1,3,3,0,3,0,1,32.4,48.69686,2.6148
426555,77061,Cannes-Ecluse,4,6,1,6,3,0,3,0,2,32.4,48.364765,2.983649
426556,77373,Pontault-Combault,1,1,1,2,4,0,3,0,2,32.4,48.77785,2.60611
426559,78498,Poissy,1,1,1,7,2,0,3,0,0,32.4,48.916517,2.015698
426560,78356,Magny-les-Hameaux,1,1,2,1,3,0,3,0,1,32.4,48.752,2.025
426561,78545,Saint-Cyr-l'Ecole,5,6,5,6,3,0,3,0,0,32.4,48.79543,2.06316
426563,78642,Verneuil-sur-Seine,1,1,1,1,3,0,3,0,0,32.4,48.995447,1.952065
426565,78486,Le Perray-en-Yvelines,5,1,3,6,4,0,3,0,0,32.4,48.84889,2.37726
426566,78322,Jouy-en-Josas,3,1,2,1,3,0,3,0,0,32.4,48.77062,2.17346
426567,78498,Poissy,1,1,1,1,4,0,3,0,2,32.4,48.92393,2.02923
426568,78503,Port-Villez,1,1,8,1,3,0,3,0,1,32.4,49.059,1.527
426569,78624,Triel-sur-Seine,5,2,2,6,3,0,3,0,1,32.4,49.00965,2.00502
426570,78621,Trappes,1,1,1,3,4,0,3,0,1,32.4,48.783188,1.98746
426571,78090,Bouafle,3,1,8,5,1,0,3,0,2,32.4,48.97036,1.89657
426572,78621,Trappes,5,1,2,4,4,0,3,0,1,32.4,48.783188,1.98746
426573,78291,Guerville,1,1,1,6,1,0,3,0,1,32.4,48.9654,1.76048
426574,78297,Guyancourt,1,3,1,3,4,0,3,0,0,32.4,48.7722,2.06086
426575,78545,Saint-Cyr-l'Ecole,1,1,1,1,4,0,3,0,0,32.4,48.8033,2.06323
426576,78520,Richebourg,1,1,1,7,3,0,3,0,0,32.4,48.8144,1.62832
426577,78601,Sonchamp,3,1,1,6,4,0,3,0,2,32.4,48.5611,1.86891
426578,78299,Hardricourt,5,1,1,6,3,0,3,0,1,32.4,49.00541,1.90421
426579,78068,Blaru,3,1,1,7,4,0,3,0,1,32.4,49.041,1.523
426580,78043,Bailly,3,1,1,4,1,0,3,0,1,32.4,48.833127,2.085181
426583,78003,Ablis,2,1,2,6,3,0,3,0,0,32.4,48.528,1.86019
426584,78010,Les Alluets-le-Roi,1,2,2,3,3,0,3,0,2,32.4,48.9135,1.92426
426585,78297,Guyancourt,1,2,1,5,3,0,3,0,0,32.4,48.771149,2.082753
426586,78372,Marly-le-Roi,1,4,1,6,2,0,3,0,0,32.4,48.8726,2.10206
426587,78440,Les Mureaux,1,6,1,3,3,0,3,0,1,32.4,48.99894,1.91637
426588,78403,Mezy-sur-Seine,5,2,2,2,3,0,3,0,0,32.4,48.996729,1.87788
426589,78490,Plaisir,1,3,1,3,4,0,3,0,1,32.4,48.8214,1.96572
426590,78073,Bois-d'Arcy,1,1,8,5,2,0,3,0,1,32.4,48.7975,2.01417
426885,91216,Epinay-sur-Orge,1,1,1,4,1,0,3,0,1,32.4,48.682734,2.3297
426886,91521,Ris-Orangis,2,1,8,7,2,0,3,0,0,32.4,48.630092,2.409278
426888,91228,Evry,3,1,1,6,1,0,3,0,1,32.4,48.612538,2.431465
426889,91659,Villabé,3,1,1,2,1,0,3,0,0,32.4,48.586115,2.452229
426893,91648,Vert-le-Grand,1,1,1,5,3,0,3,0,1,32.4,48.574,2.365
426894,91589,Savigny-sur-Orge,1,1,1,2,1,0,3,0,0,32.4,48.674003,2.342799
426895,91534,Saclay,1,1,1,6,2,0,3,0,0,32.4,48.727625,2.165754
426896,91468,Ormoy,1,1,1,3,1,0,3,0,2,32.4,48.574229,2.466742
426897,91340,Lisses,3,1,1,6,2,0,3,0,0,32.4,48.609395,2.439954
426898,91689,Wissous,3,1,8,3,1,0,3,0,1,32.4,48.729353,2.314509
426899,91085,Boissy-sous-Saint-Yon,1,1,3,6,2,0,3,0,1,32.4,48.546,2.211
426900,91340,Lisses,5,1,1,2,1,0,3,0,0,32.4,48.605962,2.435539
426901,91339,Linas,3,1,1,3,2,0,3,0,2,32.4,48.628506,2.256397
426902,91216,Epinay-sur-Orge,3,1,1,5,1,0,3,0,2,32.4,48.682734,2.3297
426903,91340,Lisses,3,1,2,4,2,0,3,0,1,32.4,48.609395,2.439954
426904,91471,Orsay,3,1,8,3,2,0,3,0,0,32.4,48.703757,2.178014
426905,91689,Wissous,4,1,1,2,1,0,3,0,0,32.4,48.729353,2.314509
426907,91182,Courcouronnes,1,1,1,7,1,0,3,0,0,32.4,48.623387,2.420366
426908,91086,Bondoufle,1,1,1,3,2,0,3,0,2,32.4,48.62441,2.376471
426909,91589,Savigny-sur-Orge,1,1,1,5,1,0,3,0,4,32.4,48.674003,2.342799
426910,91689,Wissous,1,1,1,4,1,0,3,0,4,32.4,48.729353,2.314509
426911,91617,Tigery,3,1,1,6,2,0,3,0,0,32.4,48.648,2.538
426912,91617,Tigery,1,1,8,2,2,0,3,0,2,32.4,48.631617,2.536079
426914,91661,Villebon-sur-Yvette,1,1,1,6,1,0,3,0,0,32.4,48.693818,2.229648
426915,91692,Les Ulis,3,1,2,7,1,0,3,0,1,32.4,48.674991,2.2
426916,91315,Itteville,3,6,1,1,3,0,3,0,3,32.4,48.827,2.585
426917,91534,Saclay,1,1,8,7,3,0,3,0,0,32.4,48.732,2.185
426919,91114,Brunoy,1,1,1,4,4,0,3,0,1,32.4,48.68391,2.4943
426920,91377,Massy,1,1,1,3,2,0,3,0,2,32.4,48.722827,2.299362
426921,91471,Orsay,3,1,5,4,2,0,3,0,0,32.4,48.701999,2.192873
426922,92050,Nanterre,2,1,2,6,4,0,3,0,0,32.4,48.90663,2.21479
426923,92064,Saint-Cloud,2,1,1,2,1,0,3,0,3,32.4,48.83941,2.21873
426924,92047,Marnes-la-Coquette,2,1,1,6,1,0,3,0,0,32.4,48.83311,2.15876
426925,92012,Boulogne-Billancourt,1,1,1,6,3,0,3,0,0,32.4,48.82517,2.248103
426926,92036,Gennevilliers,5,9,1,6,3,0,3,0,0,32.4,48.922703,2.30536
426927,92050,Nanterre,2,1,2,2,4,0,3,0,0,32.4,48.888281,2.193445
426928,92025,Colombes,5,3,1,3,4,0,3,0,0,32.4,48.924861,2.266631
426929,92023,Clamart,5,1,1,7,4,0,3,0,0,32.4,48.81263,2.27299
426930,92047,Marnes-la-Coquette,1,1,1,4,1,0,3,0,1,32.4,48.8348,2.17347
426931,93031,Epinay-sur-Seine,1,1,1,6,2,0,3,0,0,32.4,48.94993,2.32926
426932,93071,Sevran,1,2,1,3,9,0,3,0,1,32.4,48.933725,2.518593
426933,93001,Aubervilliers,2,2,1,3,4,0,3,0,0,32.4,48.908831,2.390617
426934,93008,Bobigny,1,1,1,5,2,0,3,0,2,32.4,48.90572,2.46746
426935,93048,Montreuil,3,1,1,6,4,0,3,0,0,32.4,48.86983,2.46525
426937,93048,Montreuil,5,2,1,5,4,0,3,0,2,32.4,48.87831,2.45495
426938,93010,Bondy,1,1,2,2,2,0,3,0,0,32.4,48.904746,2.47472
426939,93014,Clichy-sous-Bois,1,1,1,1,4,0,3,0,2,32.4,48.90796,2.53189
426940,93066,Saint-Denis,1,2,1,3,4,0,3,0,0,32.4,48.942545,2.370354
426941,93039,L'Ile-Saint-Denis,1,3,1,3,2,0,3,0,0,32.4,48.94389,2.33548
426943,93005,Aulnay-sous-Bois,1,2,1,3,4,0,3,0,2,32.4,48.92663,2.4968
426944,93079,Villetaneuse,1,1,1,6,3,0,3,0,2,32.4,48.95935,2.34476
426945,93053,Noisy-le-Sec,1,9,2,2,3,0,3,0,2,32.4,48.87997,2.461901
426946,93059,Pierrefitte-sur-Seine,2,1,1,6,2,0,3,0,0,32.4,48.97381,2.36607
426947,93071,Sevran,1,4,2,6,3,0,3,0,1,32.4,48.93442,2.5351
426948,93073,Tremblay-en-France,1,2,1,3,4,0,3,0,0,32.4,48.9636,2.56602
426949,93033,Gournay-sur-Marne,5,1,1,6,9,0,3,0,1,32.4,48.86105,2.58101
426950,93001,Aubervilliers,1,2,1,3,4,0,3,0,0,32.4,48.91283,2.36631
426951,93066,Saint-Denis,5,1,1,3,3,0,3,0,2,32.4,48.93833,2.35224
426952,93066,Saint-Denis,1,1,1,5,2,0,3,0,4,32.4,48.942622,2.364364
426953,93066,Saint-Denis,1,1,1,4,1,0,3,0,1,32.4,48.930666,2.366875
426954,93027,La Courneuve,1,2,8,2,2,0,3,0,2,32.4,48.919543,2.382666
426955,93014,Clichy-sous-Bois,3,1,1,2,3,0,3,0,1,32.4,48.91857,2.55642
426956,93005,Aulnay-sous-Bois,5,1,1,6,3,0,3,0,0,32.4,48.9491,2.51794
426957,93057,Les Pavillons-sous-Bois,1,1,1,3,4,0,3,0,2,32.4,48.913089,2.505834
426958,93078,Villepinte,4,2,1,3,4,0,3,0,2,32.4,48.95545,2.54366
426959,93014,Clichy-sous-Bois,1,1,1,1,4,0,3,0,1,32.4,48.908533,2.541843
426960,93055,Pantin,1,2,1,3,2,0,3,0,2,32.4,48.895087,2.423099
426961,93045,Les Lilas,5,2,1,1,4,0,3,0,0,32.4,48.87834,2.41073
426962,93071,Sevran,1,2,2,1,2,0,3,0,1,32.4,48.938459,2.51326
426963,93005,Aulnay-sous-Bois,1,1,1,6,5,0,3,0,1,32.4,48.95432,2.47635
426964,93072,Stains,1,1,2,5,4,0,3,0,4,32.4,48.95547,2.38317
426965,93005,Aulnay-sous-Bois,1,1,1,6,6,0,3,0,0,32.4,48.92976,2.50875
426966,93050,Neuilly-sur-Marne,5,1,1,3,4,0,3,0,0,32.4,48.85646,2.53143
426967,93008,Bobigny,1,2,1,3,4,0,3,0,1,32.4,48.91368,2.44249
426968,93059,Pierrefitte-sur-Seine,2,3,1,3,4,0,3,0,0,32.4,48.958778,2.365439
426969,93050,Neuilly-sur-Marne,1,2,2,3,5,0,3,0,0,32.4,48.86336,2.548313
426970,93071,Sevran,5,2,1,1,2,0,3,0,1,32.4,48.93296,2.51032
426971,93053,Noisy-le-Sec,5,1,2,3,1,0,3,0,0,32.4,48.894393,2.471492
426972,93027,La Courneuve,1,1,2,2,2,0,3,0,1,32.4,48.9232,2.41316
426973,93062,Le Raincy,5,1,9,6,2,0,3,0,0,32.4,48.90247,2.51802
426974,93059,Pierrefitte-sur-Seine,5,2,2,2,4,0,3,0,0,32.4,48.96701,2.36443
426975,93001,Aubervilliers,1,1,1,5,4,0,3,0,1,32.4,48.91227,2.37312
426976,93059,Pierrefitte-sur-Seine,1,1,1,3,4,0,3,0,0,32.4,48.958778,2.365439
426977,93001,Aubervilliers,5,2,1,3,2,0,3,0,0,32.4,48.91656,2.40607
426978,93008,Bobigny,1,2,1,3,4,0,3,0,0,32.4,48.909,2.45578
426979,93066,Saint-Denis,2,1,1,6,3,0,3,0,1,32.4,48.93357,2.37158
426980,93001,Aubervilliers,1,1,1,6,3,0,3,0,0,32.4,48.91906,2.38978
426981,93072,Stains,1,1,1,2,9,0,3,0,0,32.4,48.9587,2.39783
426982,93078,Villepinte,1,1,8,7,1,0,3,0,0,32.4,48.963105,2.522216
426983,93070,Saint-Ouen,1,1,2,4,4,0,3,0,2,32.4,48.91154,2.33371
426984,93066,Saint-Denis,5,1,1,2,4,0,3,0,0,32.4,48.922955,2.346688
426985,93053,Noisy-le-Sec,1,1,1,3,3,0,3,0,2,32.4,48.89544,2.44337
426986,93066,Saint-Denis,5,1,2,1,4,0,3,0,0,32.4,48.92817,2.352117
426987,93001,Aubervilliers,1,1,1,3,3,0,3,0,2,32.4,48.91392,2.38205
426988,93031,Epinay-sur-Seine,1,1,1,2,3,0,3,0,2,32.4,48.94853,2.34236
426989,93046,Livry-Gargan,1,2,1,3,4,0,3,0,0,32.4,48.92949,2.54102
426990,93049,Neuilly-Plaisance,1,1,1,3,9,0,3,0,0,32.4,48.86419,2.50975
426991,93001,Aubervilliers,5,1,1,1,2,0,3,0,0,32.4,48.904086,2.392409
426992,93066,Saint-Denis,5,3,1,7,4,0,3,0,0,32.4,48.9348,2.35826
426993,93066,Saint-Denis,5,1,1,6,2,0,3,0,0,32.4,48.9407,2.36723
426994,93027,La Courneuve,5,1,1,3,2,0,3,0,0,32.4,48.9272,2.39308
426995,93010,Bondy,1,3,1,2,2,0,3,0,1,32.4,48.9063,2.48321
426996,93027,La Courneuve,5,1,2,6,4,0,3,0,0,32.4,48.9301,2.40439
426997,93055,Pantin,1,1,1,2,4,0,3,0,1,32.4,48.9021,2.39751
426998,93031,Epinay-sur-Seine,5,1,1,7,2,0,3,0,0,32.4,48.9508,2.32426
427000,93071,Sevran,1,1,1,3,4,0,3,0,0,32.4,48.93,2.54048
427001,93005,Aulnay-sous-Bois,1,1,1,3,4,0,3,0,0,32.4,48.9505,2.51536
427002,93001,Aubervilliers,1,1,1,3,3,0,3,0,2,32.4,48.907,2.3888
427003,93005,Aulnay-sous-Bois,5,2,1,3,3,0,3,0,3,32.4,48.9495,2.51754
427004,93006,Bagnolet,5,1,1,6,1,0,3,0,0,32.4,48.867052,2.42578
427005,93062,Le Raincy,5,1,1,4,3,0,3,0,2,32.4,48.8983,2.5359
427006,93014,Clichy-sous-Bois,2,1,2,6,4,0,3,0,0,32.4,48.9012,2.54259
427007,93027,La Courneuve,5,1,1,4,3,0,3,0,2,32.4,48.939,2.40636
427008,93051,Noisy-le-Grand,1,1,8,5,2,0,3,0,2,32.4,48.8494,2.53713
427009,93066,Saint-Denis,1,1,1,7,4,0,3,0,0,32.4,48.9335,2.35769
427010,93070,Saint-Ouen,1,1,1,6,3,0,3,0,1,32.4,48.9074,2.33225
427011,93027,La Courneuve,3,2,3,2,3,0,3,0,0,32.4,48.9304,2.39657
427012,93078,Villepinte,1,1,1,2,4,0,3,0,0,32.4,48.96337,2.55391
427013,93066,Saint-Denis,5,1,3,6,2,0,3,0,1,32.4,48.922443,2.348156
427014,93005,Aulnay-sous-Bois,1,1,1,6,4,0,3,0,0,32.4,48.93233,2.48591
427015,93046,Livry-Gargan,1,1,1,2,2,0,3,0,0,32.4,48.91797,2.52896
427016,93001,Aubervilliers,1,1,1,3,2,0,3,0,0,32.4,48.903281,2.391541
427017,93053,Noisy-le-Sec,5,2,1,3,4,0,3,0,1,32.4,48.897481,2.468102
427018,93039,L'Ile-Saint-Denis,1,2,1,6,2,0,3,0,0,32.4,48.9357,2.33855
427019,93005,Aulnay-sous-Bois,3,1,1,6,1,0,3,0,1,32.4,48.9463,2.47621
427020,93047,Montfermeil,1,5,1,3,4,0,3,0,0,32.4,48.8984,2.55335
427021,93047,Montfermeil,1,2,1,3,4,0,3,0,0,32.4,48.8986,2.55042
427022,93005,Aulnay-sous-Bois,1,1,1,4,1,0,3,0,0,32.4,48.9573,2.47324
427023,93001,Aubervilliers,1,1,1,4,3,0,3,0,4,32.4,48.91227,2.37312
427024,93008,Bobigny,5,9,1,3,4,0,3,0,4,32.4,48.90958,2.44132
427025,93010,Bondy,1,1,1,5,2,0,3,0,2,32.4,48.90426,2.4727
427026,93010,Bondy,5,1,2,2,4,0,3,0,1,32.4,48.903089,2.479895
427027,93057,Les Pavillons-sous-Bois,1,1,1,2,3,0,3,0,0,32.4,48.89959,2.49845
427028,93027,La Courneuve,5,2,2,1,4,0,3,0,0,32.4,48.92286,2.38278
427029,93030,Dugny,5,1,1,3,3,0,3,0,1,32.4,48.95371,2.41638
427030,93027,La Courneuve,1,1,1,4,4,0,3,0,4,32.4,48.9253,2.39842
427031,93031,Epinay-sur-Seine,4,1,1,3,2,0,3,0,1,32.4,48.94993,2.32926
427032,93015,Coubron,3,1,1,1,4,0,3,0,0,32.4,48.91591,2.57951
427033,93048,Montreuil,2,1,1,7,4,0,3,0,0,32.4,48.86105,2.46886
427034,93055,Pantin,3,1,3,3,2,0,3,0,3,32.4,48.89554,2.426
427035,93077,Villemomble,2,1,1,1,4,0,3,0,1,32.4,48.88514,2.50301
427036,93066,Saint-Denis,1,1,1,3,2,0,3,0,1,32.4,48.91825,2.3416
427037,93066,Saint-Denis,1,1,1,3,4,0,3,0,1,32.4,48.92771,2.37124
427038,93070,Saint-Ouen,5,3,1,3,3,0,3,0,1,32.4,48.91768,2.32975
427039,93073,Tremblay-en-France,1,1,1,3,3,0,3,0,0,32.4,48.97503,2.56
427040,94044,Limeil-Brevannes,1,1,1,4,2,0,3,0,1,32.4,48.74479,2.51169
427041,94003,Arcueil,1,1,1,2,1,0,3,0,0,32.4,48.807043,2.341081
427042,94021,Chevilly-Larue,1,1,1,3,1,0,3,0,0,32.4,48.764448,2.343776
427043,94034,Fresnes,1,1,1,3,1,0,3,0,0,32.4,48.757082,2.330078
427044,94017,Champigny-sur-Marne,5,2,1,3,2,0,3,0,0,32.4,48.81985,2.48462
427045,94076,Villejuif,5,2,1,5,4,0,3,0,1,32.4,48.79329,2.35391
427046,94038,L'Hay-les-Roses,1,1,1,5,1,0,3,0,4,32.4,48.780921,2.346621
427047,94003,Arcueil,1,2,1,3,2,0,3,0,0,32.4,48.8058,2.32558
427048,94021,Chevilly-Larue,1,1,1,3,1,0,3,0,3,32.4,48.7704,2.3451
427049,94073,Thiais,3,2,1,3,2,0,3,0,1,32.4,48.7613,2.40324
427050,94003,Arcueil,1,1,2,4,1,0,3,0,1,32.4,48.7996,2.34237
427051,94038,L'Hay-les-Roses,5,1,9,7,1,0,3,0,0,32.4,48.7888,2.34455
427052,94018,Charenton-le-Pont,5,3,1,6,2,0,3,0,1,32.4,48.82867,2.40261
427053,94044,Limeil-Brevannes,5,2,2,3,2,0,3,0,1,32.4,48.74479,2.51169
427054,94073,Thiais,1,2,1,3,4,0,3,0,0,32.4,48.76871,2.36848
427055,94065,Rungis,5,1,1,2,3,0,3,0,3,32.4,48.75741,2.34475
427056,94052,Nogent-sur-Marne,5,1,2,3,3,0,3,0,1,32.4,48.8316,2.49318
427057,94073,Thiais,1,1,1,4,1,0,3,0,4,32.4,48.7718,2.39419
427058,95028,Attainville,3,1,1,3,2,0,3,0,0,32.4,49.06092,2.357632
427059,95500,Pontoise,1,1,1,4,1,0,3,0,1,32.4,49.040064,2.083762
427060,95424,Montigny-les-Cormeilles,1,1,1,2,1,0,3,0,2,32.4,48.991202,2.192617
427063,95252,Franconville,5,1,1,4,1,0,3,0,3,32.4,48.980384,2.22553
427065,95277,Gonesse,1,2,1,3,4,0,3,0,1,32.4,48.98537,2.4594
427066,95580,Saint-Witz,5,1,2,5,1,0,3,0,2,32.4,49.087922,2.550982
427067,95488,Pierrelaye,5,1,1,5,1,0,3,0,5,32.4,49.015232,2.145512
427068,95539,Saint-Brice-sous-Foret,1,2,1,3,2,0,3,0,2,32.4,48.87426,2.33426
427071,95042,Baillet-en-France,1,1,1,1,3,0,3,0,0,32.4,49.0592,2.3319
427072,95205,Ecouen,1,1,1,3,3,0,3,0,0,32.4,49.02433,2.38673
427073,95476,Osny,1,1,8,3,3,0,3,0,1,32.4,49.0713,2.0817
427074,95018,Argenteuil,3,1,1,5,1,0,3,0,2,32.4,48.952762,2.279324
427075,95280,Goussainville,2,1,1,6,4,0,3,0,1,32.4,49.025,2.4689
427076,95149,Chaumontel,3,1,2,1,3,0,3,0,0,32.4,49.1296,2.4323
427077,95395,Le Mesnil-Aubry,1,1,1,1,3,0,3,0,0,32.4,49.0409,2.3944
427078,95250,Fosses,1,1,1,2,3,0,3,0,2,32.4,49.0949,2.5081
427079,95394,Mery-sur-Oise,5,1,1,6,4,0,3,0,0,32.4,49.0616,2.1922
427556,75020,Paris,2,1,1,6,4,0,3,1,0,32.83,48.8165,2.34402
427557,75115,Paris,1,1,1,6,4,0,3,1,0,32.83,48.8369,2.29737
427566,77368,Poigny,1,1,1,3,3,0,3,1,0,32.83,48.54072,3.26696
427568,77114,Chevry-Cossigny,3,1,1,5,3,0,3,1,1,32.83,48.71479,2.69709
427570,77475,Trilport,1,1,2,6,2,0,3,1,0,32.83,48.957876,2.950559
427571,77216,Grez-sur-Loing,2,1,1,1,3,0,3,1,1,32.83,48.301919,2.666961
427573,77294,Mitry-Mory,5,1,2,5,3,0,3,1,0,32.83,48.97513,2.63688
427575,77252,Limoges-Fourches,1,1,8,1,3,0,3,1,1,32.83,48.635,2.648
427576,77495,Vert-Saint-Denis,3,1,1,4,3,0,3,1,2,32.83,48.94687,2.36087
427579,77400,Saint-Augustin,3,1,1,7,4,0,3,1,0,32.83,48.76697,3.03085
427580,78423,Montigny-le-Bretonneux,5,3,1,3,3,0,3,1,0,32.83,48.791938,2.041051
427581,78140,Chapet,1,1,1,5,1,0,3,1,1,32.83,48.96499,1.92459
427640,91671,Villeneuve-sur-Auvers,1,1,8,1,3,0,3,1,0,32.83,48.468,2.271
427641,91377,Massy,1,2,1,5,4,0,3,1,2,32.83,48.735136,2.266642
427642,91534,Saclay,3,1,3,6,3,0,3,1,1,32.83,48.724,2.151
427643,92064,Saint-Cloud,5,1,1,3,1,0,3,1,3,32.83,48.83941,2.21873
427644,92050,Nanterre,1,1,1,4,4,0,3,1,1,32.83,48.91883,2.22272
427645,93049,Neuilly-Plaisance,1,2,8,1,4,0,3,1,1,32.83,48.86411,2.51694
427646,93008,Bobigny,1,1,1,7,9,0,3,1,1,32.83,48.90572,2.46746
