numac,vehicule,vsp,app,ass,misecirc,momc,tues,hospitalises,legers,indemnes
426471,33,0,1,1,1997,6,0,2,0,0
426472,07,0,5,1,1998,8,0,1,0,0
426472,07,0,1,1,1994,11,0,2,0,0
426473,07,0,1,1,1998,9,0,0,0,1
426473,07,0,1,1,1996,10,0,3,0,0
426474,07,0,3,1,2003,2,0,3,0,2
426475,30,0,1,1,,,0,2,0,0
426475,05,0,1,1,2001,5,0,1,0,0
426476,07,0,1,1,1995,9,0,1,0,0
426476,07,0,1,1,1994,6,0,2,0,0
426477,07,0,3,1,1998,11,0,3,0,0
426478,35,0,3,2,2004,1,0,1,0,0
426478,33,0,1,1,2001,4,0,1,0,0
426479,07,0,1,1,1999,12,0,1,0,1
426479,07,0,1,1,1990,11,0,2,0,0
426480,07,0,1,1,1991,8,0,1,0,1
426480,02,0,1,1,2005,8,0,1,0,0
426480,02,0,3,1,2007,2,0,1,0,0
426481,07,0,3,1,1997,5,0,1,0,1
426481,07,0,3,1,1998,6,0,2,0,0
426482,07,0,3,1,1990,10,0,3,0,0
426483,07,0,0,1,,,0,2,0,0
426483,10,0,5,1,2007,8,0,1,0,0
426484,07,0,1,1,2002,3,0,2,0,0
426484,07,0,3,1,1995,2,0,1,0,0
426485,07,0,1,1,1996,6,0,2,0,0
426485,07,0,1,1,2003,10,0,1,0,0
426486,07,0,1,1,2006,2,0,1,0,0
426486,07,0,1,1,1995,1,0,2,0,0
426487,07,0,1,1,1990,5,0,0,0,1
426488,07,0,3,1,1994,4,0,1,0,0
426488,07,0,1,1,2000,12,0,2,0,0
426489,07,0,1,1,2002,10,0,1,0,0
426489,07,0,1,1,,,0,2,0,0
426490,07,0,1,1,1999,7,0,3,0,2
426490,07,0,1,1,2007,12,0,0,0,1
426490,07,0,3,1,2002,10,0,0,0,4
426491,07,0,1,1,2004,3,0,1,0,0
426491,07,0,1,0,1999,2,0,2,0,1
426492,33,0,3,1,2005,6,0,1,0,0
426493,10,0,5,1,,,0,3,0,0
426493,07,0,1,1,1999,12,0,0,0,1
426494,10,0,1,1,2000,5,0,2,0,1
426494,10,0,1,1,1996,9,0,1,0,0
426495,07,0,3,1,1999,11,0,2,0,0
426495,07,0,1,1,1994,8,0,1,0,0
426496,07,0,1,1,2006,2,0,1,0,0
426496,07,1,1,1,2000,10,0,2,0,0
426497,07,0,1,1,1996,10,0,2,0,0
426497,07,0,3,1,2006,11,0,0,0,1
426497,07,0,1,1,2002,1,0,1,0,0
426498,07,0,3,1,1996,3,0,1,0,0
426498,07,0,3,1,1996,3,0,2,0,0
426499,07,0,1,1,2005,5,0,2,0,0
426499,07,0,1,1,1998,9,0,1,0,0
426500,31,0,1,1,,,0,1,0,1
426500,31,0,1,1,2006,9,0,2,0,0
426501,07,9,3,1,2001,8,0,3,0,1
426502,07,0,1,1,2001,1,0,1,0,0
426502,07,0,1,1,2007,10,0,2,0,0
426503,33,0,1,1,2004,8,0,2,0,0
426503,07,0,1,1,1998,7,0,1,0,0
426504,07,0,1,1,2011,6,0,3,0,0
426505,07,0,1,1,2008,2,0,3,0,0
426505,07,0,1,1,2009,12,0,0,0,2
426506,07,0,1,1,1999,5,0,3,0,1
426507,07,0,5,1,2004,6,0,1,0,0
426507,07,0,1,1,,,0,2,0,0
426508,07,0,3,1,2006,4,0,0,0,1
426509,14,0,5,1,2003,11,0,0,0,1
426509,15,0,5,1,1998,12,0,1,0,0
426509,15,0,5,1,2001,6,0,0,0,2
426510,07,0,1,1,1993,11,0,2,0,1
426510,07,0,1,1,1994,3,0,1,0,0
426511,07,0,1,2,1992,10,0,3,0,0
426512,30,0,1,1,,,0,2,0,0
426512,33,0,1,1,1985,2,0,1,0,0
426513,07,0,1,1,1990,10,0,1,0,0
426513,07,0,1,1,1998,11,0,2,0,0
426514,07,0,1,1,1994,3,0,1,0,0
426514,07,0,1,1,2006,3,0,2,0,0
426515,07,0,1,1,2000,11,0,3,0,0
426516,07,0,1,1,1991,10,0,3,0,0
426517,07,0,3,1,1994,11,0,0,0,1
426517,07,0,3,1,1989,11,0,3,0,0
426518,07,0,1,1,2004,7,0,0,0,1
426519,07,0,1,1,,,0,0,0,1
426519,07,0,1,1,,,0,3,0,1
426520,07,0,3,1,1981,2,0,3,0,1
426521,07,0,1,1,2005,9,0,2,0,0
426521,07,0,1,1,1996,4,0,1,0,0
426522,07,0,3,2,,,0,2,0,0
426522,07,0,3,1,2005,3,0,1,0,0
426523,07,0,1,1,1998,7,0,1,0,2
426523,07,0,1,1,2004,1,0,2,0,0
426524,07,0,1,1,1999,2,0,0,0,1
426524,07,0,1,1,1993,5,0,3,0,0
426525,07,0,0,1,1998,4,0,2,0,0
426525,07,0,0,1,1998,6,0,1,0,0
426526,07,0,1,1,2007,11,0,1,0,0
426526,07,0,1,1,1996,6,0,2,0,0
426527,07,0,1,1,2002,10,0,3,0,0
426528,07,0,0,1,2003,6,0,3,0,1
426529,07,0,1,1,2000,7,0,3,0,0
426529,07,0,1,1,1996,12,0,0,0,1
426530,07,0,5,1,2005,8,0,3,0,0
426531,07,0,1,1,1987,7,0,3,0,0
426531,07,0,5,1,2005,7,0,0,0,1
426532,07,0,1,1,2005,1,0,3,0,0
426533,33,0,1,1,1997,9,0,1,0,0
426533,07,0,1,1,2001,1,0,2,0,0
426534,07,0,1,1,1995,6,0,1,0,0
426534,07,0,3,1,2007,11,0,0,0,2
426534,07,0,1,3,2002,1,0,2,0,0
426535,07,0,1,1,1998,8,0,1,0,0
426535,07,0,3,1,2002,6,0,2,0,2
426536,07,1,1,1,2006,7,0,1,0,0
426536,07,0,5,1,,,0,2,0,1
426537,07,0,1,1,2006,2,0,0,0,1
426537,07,0,3,1,2007,12,0,3,0,0
426538,07,0,5,1,2000,6,0,1,0,2
426538,07,0,1,1,1993,5,0,2,0,0
426539,07,0,5,1,2008,12,0,1,0,0
426539,07,0,1,1,1994,6,0,2,0,2
426540,07,0,3,2,1996,7,0,3,0,0
426541,07,0,1,1,2002,9,0,3,0,0
426541,07,0,3,1,2007,12,0,0,0,1
426542,07,0,1,1,2001,8,0,2,0,0
426542,07,0,5,1,2006,6,0,1,0,0
426543,07,0,3,1,2009,6,0,1,0,0
426543,10,2,5,1,2007,8,0,2,0,0
426544,07,0,3,1,1997,7,0,3,0,0
426545,07,0,1,3,1995,10,0,1,0,0
426545,07,0,1,1,1997,5,0,0,0,1
426545,07,0,1,1,2005,2,0,2,0,0
426546,07,0,1,1,1993,2,0,3,0,0
426547,07,0,1,1,,,0,3,0,3
426548,07,0,1,2,1998,3,0,3,0,0
426549,07,0,1,1,2001,2,0,1,0,0
426549,33,0,1,1,2008,8,0,2,0,0
426550,07,0,1,1,1992,10,0,3,0,0
426551,07,0,1,1,2001,1,0,1,0,0
426551,07,0,3,1,2010,7,0,2,0,0
426552,07,0,1,1,1998,8,0,1,0,0
426552,07,0,1,1,1996,7,0,2,0,0
426553,07,0,1,1,2002,6,0,1,0,0
426553,07,0,1,1,2004,7,0,2,0,0
426554,30,0,1,1,,,0,2,0,0
426554,20,4,4,1,2011,5,0,1,0,1
426555,07,0,1,1,2009,6,0,3,0,2
426556,10,0,5,1,2011,2,0,0,0,1
426556,07,0,1,1,1940,8,0,3,0,1
426557,07,0,1,1,2002,12,0,2,0,0
426557,07,0,1,1,1999,3,0,0,0,1
426557,07,0,1,1,2002,11,0,1,0,0
426558,07,0,0,1,1991,12,0,2,0,0
426558,07,0,1,1,,,0,1,0,0
426559,07,0,3,1,2004,11,0,3,0,0
426560,07,0,3,1,1995,7,0,2,0,1
426560,07,0,3,1,1996,6,0,1,0,0
426561,07,0,3,1,2000,6,0,3,0,0
426562,33,0,1,1,2002,12,0,1,0,0
426562,33,0,5,1,2005,7,0,2,0,0
426563,07,0,1,1,2005,8,0,1,0,0
426563,07,0,3,1,2001,12,0,2,0,0
426564,07,0,1,1,2004,7,0,2,0,0
426564,07,0,0,1,2001,4,0,1,0,0
426565,07,0,1,1,1995,4,0,1,0,0
426565,07,0,1,1,1993,8,0,2,0,0
426566,07,0,1,1,1994,3,0,2,0,0
426566,07,0,1,1,1999,8,0,1,0,0
426567,07,0,3,1,2000,8,0,0,0,1
426567,07,0,3,1,1994,6,0,3,0,1
426568,07,0,0,1,,,0,2,0,1
426568,07,0,1,1,,,0,1,0,0
426569,07,0,3,1,1993,3,0,3,0,1
426570,07,0,1,1,2002,9,0,2,0,1
426570,07,0,3,1,2004,3,0,1,0,0
426571,07,0,1,1,2003,1,0,0,0,1
426571,15,0,5,1,2003,2,0,0,0,1
426571,07,0,1,1,2003,11,0,3,0,0
426572,07,0,1,1,1991,11,0,2,0,0
426572,07,0,1,1,1994,6,0,1,0,0
426572,07,0,5,1,2006,6,0,0,0,1
426573,07,0,1,1,1992,11,0,3,0,1
426574,07,0,1,1,1998,6,0,2,0,0
426574,33,0,1,1,1998,8,0,1,0,0
426575,07,0,0,2,1992,4,0,2,0,0
426575,07,0,1,1,2002,2,0,1,0,0
426576,07,4,4,1,,,0,3,0,0
426577,07,0,1,1,,,0,3,0,2
426578,07,0,3,1,2004,12,0,0,0,1
426578,07,0,3,1,2000,3,0,2,0,0
426578,07,0,1,1,1994,6,0,1,0,0
426579,07,0,3,1,1998,11,0,3,0,1
426580,07,0,1,1,1997,4,0,0,0,1
426580,07,0,3,1,2009,7,0,1,0,0
426580,07,0,1,1,1993,5,0,2,0,0
426581,10,0,1,1,1999,3,0,1,0,0
426581,10,0,1,1,1998,7,0,2,0,0
426582,07,0,5,1,2011,10,0,2,0,0
426582,07,0,1,1,2002,5,0,1,0,0
426583,07,0,3,1,2008,1,0,3,0,0
426584,07,0,1,1,2011,1,0,2,0,0
426584,07,0,0,1,2011,1,0,1,0,2
426585,07,0,1,1,2007,4,0,1,0,0
426585,07,0,1,1,2000,10,0,1,0,0
426585,07,0,1,1,1999,4,0,1,0,0
426586,07,0,1,1,2006,12,0,1,0,0
426587,10,0,3,1,2002,7,0,0,0,1
426587,07,0,3,1,2001,12,0,3,0,0
426588,07,0,3,1,2002,7,0,1,0,0
426588,07,0,1,1,1999,9,0,2,0,0
426589,07,0,3,1,2010,9,0,2,0,0
426589,07,0,1,1,2005,3,0,1,0,1
426590,07,0,1,1,2009,12,0,0,0,1
426590,07,0,1,1,1993,10,0,2,0,0
426590,07,0,1,1,2002,3,0,1,0,0
426591,07,0,1,1,1996,2,0,1,0,1
426591,07,0,1,1,1996,8,0,2,0,0
426592,15,0,5,1,1992,9,0,1,0,0
426592,07,0,1,1,2004,6,0,1,0,0
426592,07,0,1,1,1987,7,0,1,0,0
426593,07,0,1,1,1995,6,0,1,0,1
426593,07,0,1,1,2000,8,0,2,0,0
426594,07,0,3,1,,,0,2,0,0
426594,07,0,1,1,,,0,0,0,1
426594,07,0,1,1,,,0,1,0,0
426595,07,0,0,1,1999,12,0,3,0,1
426596,07,0,1,1,2005,9,0,2,0,0
426596,14,0,5,1,1997,6,0,0,0,1
426596,07,0,1,1,1988,8,0,1,0,0
426597,07,0,3,1,1989,12,0,3,0,3
426598,07,0,5,1,2007,1,0,1,0,0
426598,07,0,1,1,2000,9,0,2,0,0
426599,07,0,1,1,1998,5,0,2,0,0
426599,07,0,1,1,1995,3,0,1,0,0
426600,07,0,0,0,,,0,3,0,1
426601,07,0,1,1,2004,1,0,2,0,0
426601,07,0,1,1,1996,1,0,1,0,0
426602,07,0,1,1,,,0,3,0,0
426602,07,0,1,1,,,0,0,0,1
426603,07,0,3,1,1988,5,0,3,0,0
426604,07,0,1,1,2008,1,0,2,0,1
426604,07,0,1,1,2002,2,0,1,0,0
426605,07,0,1,1,2003,3,0,1,0,0
426605,07,0,1,1,2007,3,0,2,0,0
426606,07,0,1,1,,,0,1,0,1
426606,07,0,1,1,2001,1,0,2,0,0
426607,07,0,1,1,1996,1,0,1,0,0
426607,07,0,3,1,2000,3,0,2,0,0
426608,07,0,3,1,1989,9,0,3,0,0
426609,15,0,5,1,2001,4,0,1,0,0
426609,10,0,5,1,,,0,2,0,0
426610,07,0,1,0,,,0,3,0,0
426611,07,0,1,1,2001,6,0,2,0,0
426611,10,0,1,1,2003,10,0,1,0,0
426612,07,0,1,1,2002,11,0,1,0,0
426612,07,0,3,1,1995,6,0,2,0,0
426613,07,0,1,1,1994,4,0,1,0,0
426613,07,0,1,1,1999,4,0,0,0,2
426613,07,0,1,1,1992,10,0,2,0,0
426613,07,0,1,1,2001,5,0,0,0,4
426614,07,0,1,3,1995,1,0,3,0,0
426615,07,0,3,1,2005,3,0,1,0,0
426615,07,0,1,1,1992,2,0,2,0,0
426616,07,0,1,1,1993,11,0,1,0,4
426616,07,0,1,1,2005,4,0,2,0,1
426617,07,0,1,1,2007,3,0,3,0,0
426617,17,0,5,1,2007,5,0,0,0,1
426618,07,0,3,1,1994,6,0,2,0,0
426618,07,0,1,1,2000,9,0,1,0,0
426619,07,0,3,0,1989,7,0,3,0,0
426620,07,0,0,1,1996,10,0,3,0,2
426621,07,0,1,1,2000,3,0,2,0,0
426621,07,0,3,1,2008,3,0,1,0,0
426622,07,0,1,1,2001,11,0,2,0,0
426622,07,0,1,1,1999,4,0,1,0,0
426623,07,0,3,1,2000,5,0,1,0,0
426623,07,0,1,1,1993,1,0,2,0,0
426624,15,0,5,1,,,0,0,0,1
426624,10,0,5,1,2004,6,0,3,0,0
426625,07,0,5,1,1994,12,0,3,0,0
426626,07,0,1,1,,,0,1,0,0
426626,02,0,1,2,,,0,2,0,0
426627,10,0,1,1,1997,7,0,1,0,0
426627,10,0,1,1,1989,2,0,2,0,0
426628,07,0,1,1,2008,3,0,2,0,0
426628,07,0,1,1,1994,4,0,0,0,3
426628,07,0,1,1,2004,7,0,1,0,2
426629,10,0,1,1,1999,6,0,1,0,0
426629,07,0,1,1,2007,7,0,2,0,0
426630,10,9,1,1,,,0,1,0,0
426630,07,0,1,1,,,0,2,0,0
426630,07,0,1,1,,,0,0,0,1
426631,07,0,1,1,2000,6,0,3,0,0
426632,07,0,3,3,2002,6,0,2,0,1
426632,07,2,5,1,2010,4,0,1,0,1
426633,07,0,0,1,1994,9,0,3,0,0
426634,07,0,5,1,2006,6,0,2,0,0
426634,07,0,3,1,2000,4,0,1,0,0
426635,07,0,1,1,,,0,3,0,0
426636,07,0,1,1,1999,7,0,3,0,0
426637,07,0,3,1,1994,6,0,3,0,1
426638,07,0,1,1,1994,12,0,3,0,0
426639,07,0,1,1,1999,11,0,3,0,0
426640,07,0,1,1,2005,6,0,1,0,1
426640,07,0,1,1,1996,10,0,2,0,0
426641,07,0,1,1,1985,2,0,0,0,1
426641,07,0,1,1,2006,5,0,3,0,1
426642,07,0,1,1,1995,4,0,3,0,0
426643,07,0,1,1,2005,6,0,2,0,0
426643,07,0,1,1,2008,6,0,1,0,0
426644,07,0,1,1,1993,6,0,3,0,0
